state_code,state_name,county_code,county_name,Date,Weather
1,Alabama,73,Jefferson,29-11-2021,Clear
1,Alabama,73,Jefferson,30-12-2021,Clear
1,Alabama,73,Jefferson,01-12-2021,Clear
1,Alabama,73,Jefferson,02-12-2021,Clear
1,Alabama,73,Jefferson,03-12-2021,Clouds
1,Alabama,73,Jefferson,04-12-2021,Clouds
1,Alabama,73,Jefferson,05-12-2021,Rain
1,Alabama,73,Jefferson,06-12-2021,Rain
2,Alaska,20,Anchorage ,29-11-2021,Clouds
2,Alaska,20,Anchorage ,30-12-2021,Snow
2,Alaska,20,Anchorage ,01-12-2021,Snow
2,Alaska,20,Anchorage ,02-12-2021,Clouds
2,Alaska,20,Anchorage ,03-12-2021,Clouds
2,Alaska,20,Anchorage ,04-12-2021,Clouds
2,Alaska,20,Anchorage ,05-12-2021,Snow
2,Alaska,20,Anchorage ,06-12-2021,Snow
2,Alaska,90,Fairbanks North Star ,29-11-2021,Clouds
2,Alaska,90,Fairbanks North Star ,30-12-2021,Clouds
2,Alaska,90,Fairbanks North Star ,01-12-2021,Clouds
2,Alaska,90,Fairbanks North Star ,02-12-2021,Clouds
2,Alaska,90,Fairbanks North Star ,03-12-2021,Clear
2,Alaska,90,Fairbanks North Star ,04-12-2021,Clouds
2,Alaska,90,Fairbanks North Star ,05-12-2021,Snow
2,Alaska,90,Fairbanks North Star ,06-12-2021,Snow
4,Arizona,13,Maricopa,29-11-2021,Clear
4,Arizona,13,Maricopa,30-12-2021,Clouds
4,Arizona,13,Maricopa,01-12-2021,Clear
4,Arizona,13,Maricopa,02-12-2021,Clouds
4,Arizona,13,Maricopa,03-12-2021,Clear
4,Arizona,13,Maricopa,04-12-2021,Clouds
4,Arizona,13,Maricopa,05-12-2021,Clear
4,Arizona,13,Maricopa,06-12-2021,Clear
4,Arizona,13,Maricopa,06-12-2021,Clouds
4,Arizona,19,Pima,29-11-2021,Clear
4,Arizona,19,Pima,30-12-2021,Clear
4,Arizona,19,Pima,01-12-2021,Clouds
4,Arizona,19,Pima,02-12-2021,Clear
4,Arizona,19,Pima,03-12-2021,Clear
4,Arizona,19,Pima,04-12-2021,Clouds
4,Arizona,19,Pima,05-12-2021,Clear
4,Arizona,19,Pima,06-12-2021,Clear
4,Arizona,19,Pima,30-12-2021,Clouds
5,Arkansas,119,Pulaski,29-11-2021,Clear
5,Arkansas,119,Pulaski,30-12-2021,Clear
5,Arkansas,119,Pulaski,01-12-2021,Clouds
5,Arkansas,119,Pulaski,02-12-2021,Clear
5,Arkansas,119,Pulaski,03-12-2021,Clouds
5,Arkansas,119,Pulaski,04-12-2021,Rain
5,Arkansas,119,Pulaski,05-12-2021,Rain
5,Arkansas,119,Pulaski,06-12-2021,Clear
6,California,1,Alameda,29-11-2021,Clear
6,California,1,Alameda,30-12-2021,Clear
6,California,1,Alameda,01-12-2021,Clear
6,California,1,Alameda,02-12-2021,Clear
6,California,1,Alameda,03-12-2021,Clear
6,California,1,Alameda,04-12-2021,Clear
6,California,1,Alameda,05-12-2021,Clouds
6,California,1,Alameda,06-12-2021,Clouds
6,California,7,Butte,29-11-2021,Clear
6,California,7,Butte,30-12-2021,Clear
6,California,7,Butte,01-12-2021,Clear
6,California,7,Butte,02-12-2021,Clouds
6,California,7,Butte,03-12-2021,Clear
6,California,7,Butte,04-12-2021,Clear
6,California,7,Butte,05-12-2021,Clouds
6,California,7,Butte,06-12-2021,Clouds
6,California,13,Contra Costa,29-11-2021,Clear
6,California,13,Contra Costa,30-12-2021,Clear
6,California,13,Contra Costa,01-12-2021,Clear
6,California,13,Contra Costa,02-12-2021,Clear
6,California,13,Contra Costa,03-12-2021,Clear
6,California,13,Contra Costa,04-12-2021,Clear
6,California,13,Contra Costa,05-12-2021,Clouds
6,California,13,Contra Costa,06-12-2021,Clouds
6,California,19,Fresno,29-11-2021,Clear
6,California,19,Fresno,30-12-2021,Clear
6,California,19,Fresno,01-12-2021,Clear
6,California,19,Fresno,02-12-2021,Clear
6,California,19,Fresno,03-12-2021,Clouds
6,California,19,Fresno,04-12-2021,Clear
6,California,19,Fresno,05-12-2021,Clouds
6,California,19,Fresno,06-12-2021,Clouds
6,California,23,Humboldt,29-11-2021,Clouds
6,California,23,Humboldt,30-12-2021,Clear
6,California,23,Humboldt,01-12-2021,Clear
6,California,23,Humboldt,02-12-2021,Clear
6,California,23,Humboldt,03-12-2021,Clouds
6,California,23,Humboldt,04-12-2021,Clouds
6,California,23,Humboldt,05-12-2021,Rain
6,California,23,Humboldt,06-12-2021,Rain
6,California,25,Imperial,29-11-2021,Clear
6,California,25,Imperial,30-12-2021,Clear
6,California,25,Imperial,01-12-2021,Clear
6,California,25,Imperial,02-12-2021,Clouds
6,California,25,Imperial,03-12-2021,Clear
6,California,25,Imperial,04-12-2021,Clouds
6,California,25,Imperial,05-12-2021,Clear
6,California,25,Imperial,06-12-2021,Clouds
6,California,29,Kern,29-11-2021,Clear
6,California,29,Kern,30-12-2021,Clear
6,California,29,Kern,01-12-2021,Clear
6,California,29,Kern,02-12-2021,Clouds
6,California,29,Kern,03-12-2021,Clouds
6,California,29,Kern,04-12-2021,Clear
6,California,29,Kern,05-12-2021,Clear
6,California,29,Kern,06-12-2021,Clouds
6,California,37,Los Angeles,29-11-2021,Clear
6,California,37,Los Angeles,30-12-2021,Clear
6,California,37,Los Angeles,01-12-2021,Clear
6,California,37,Los Angeles,02-12-2021,Clouds
6,California,37,Los Angeles,03-12-2021,Clear
6,California,37,Los Angeles,04-12-2021,Clear
6,California,37,Los Angeles,05-12-2021,Clear
6,California,37,Los Angeles,06-12-2021,Clouds
6,California,41,Marin,29-11-2021,Clear
6,California,41,Marin,30-12-2021,Clear
6,California,41,Marin,01-12-2021,Clear
6,California,41,Marin,02-12-2021,Clear
6,California,41,Marin,03-12-2021,Clear
6,California,41,Marin,04-12-2021,Clear
6,California,41,Marin,05-12-2021,Clouds
6,California,41,Marin,06-12-2021,Clouds
6,California,53,Monterey,29-11-2021,Clear
6,California,53,Monterey,30-12-2021,Clear
6,California,53,Monterey,01-12-2021,Clear
6,California,53,Monterey,02-12-2021,Clear
6,California,53,Monterey,03-12-2021,Clear
6,California,53,Monterey,04-12-2021,Clear
6,California,53,Monterey,05-12-2021,Clouds
6,California,53,Monterey,06-12-2021,Clouds
6,California,55,Napa,29-11-2021,Clear
6,California,55,Napa,30-12-2021,Clear
6,California,55,Napa,01-12-2021,Clear
6,California,55,Napa,02-12-2021,Clear
6,California,55,Napa,03-12-2021,Clear
6,California,55,Napa,04-12-2021,Clear
6,California,55,Napa,05-12-2021,Clear
6,California,55,Napa,06-12-2021,Clouds
6,California,59,Orange,29-11-2021,Clear
6,California,59,Orange,30-12-2021,Clear
6,California,59,Orange,01-12-2021,Clear
6,California,59,Orange,02-12-2021,Clouds
6,California,59,Orange,03-12-2021,Clear
6,California,59,Orange,04-12-2021,Clear
6,California,59,Orange,05-12-2021,Clear
6,California,59,Orange,06-12-2021,Clouds
6,California,65,Riverside,29-11-2021,Clear
6,California,65,Riverside,30-12-2021,Clear
6,California,65,Riverside,01-12-2021,Clear
6,California,65,Riverside,02-12-2021,Clouds
6,California,65,Riverside,03-12-2021,Clear
6,California,65,Riverside,04-12-2021,Clear
6,California,65,Riverside,05-12-2021,Clear
6,California,65,Riverside,06-12-2021,Clouds
6,California,67,Sacramento,29-11-2021,Clear
6,California,67,Sacramento,30-12-2021,Clear
6,California,67,Sacramento,01-12-2021,Clear
6,California,67,Sacramento,02-12-2021,Clear
6,California,67,Sacramento,03-12-2021,Clear
6,California,67,Sacramento,04-12-2021,Clear
6,California,67,Sacramento,05-12-2021,Clouds
6,California,67,Sacramento,06-12-2021,Clouds
6,California,71,San Bernardino,29-11-2021,Clear
6,California,71,San Bernardino,30-12-2021,Clear
6,California,71,San Bernardino,01-12-2021,Clear
6,California,71,San Bernardino,02-12-2021,Clouds
6,California,71,San Bernardino,03-12-2021,Clear
