state_code,county_code,neighbor1_state_code,neighbor1_county_code,neighbor2_state_code,neighbor2_county_code,neighbor3_state_code,neighbor3_county_code,neighbor4_state_code,neighbor4_county_code,neighbor5_state_code,neighbor5_county_code
1,73,13,121,13,89,47,37,47,157,47,9
4,13,4,19,6,25,32,3,6,73,6,65
4,19,4,13,48,141,6,25,35,1,32,3
5,119,47,157,40,143,29,510,22,33,48,113
6,1,6,75,6,13,6,81,6,95,6,41
6,7,6,67,6,55,6,97,6,95,6,13
6,13,6,95,6,1,6,75,6,55,6,41
6,19,6,99,6,53,6,85,6,83,6,67
6,23,6,7,6,97,6,55,6,41,6,95
6,25,6,73,6,65,6,71,6,59,6,37
6,37,6,59,6,71,6,65,6,73,6,83
6,41,6,75,6,95,6,1,6,55,6,13
6,53,6,85,6,81,6,99,6,1,6,75
6,55,6,95,6,41,6,13,6,97,6,1
6,59,6,37,6,65,6,71,6,73,6,83
6,65,6,71,6,59,6,37,6,73,6,25
6,67,6,13,6,55,6,95,6,99,6,1
6,71,6,65,6,59,6,37,6,73,6,25
6,73,6,65,6,59,6,71,6,25,6,37
6,75,6,1,6,41,6,81,6,95,6,13
6,81,6,1,6,85,6,75,6,13,6,41
6,83,6,37,6,19,6,59,6,53,6,71
6,85,6,81,6,1,6,13,6,75,6,53
6,95,6,55,6,13,6,41,6,1,6,75
6,97,6,55,6,41,6,95,6,75,6,1
6,99,6,85,6,53,6,13,6,67,6,81
8,1,8,31,8,123,8,69,8,41,35,1
8,31,8,1,8,123,8,69,8,41,35,1
8,41,8,31,8,1,8,123,8,69,35,1
8,69,8,123,8,1,8,31,8,41,35,1
8,123,8,69,8,1,8,31,8,41,35,1
9,3,9,9,9,5,25,27,44,7,36,5
9,5,9,3,9,9,36,5,36,61,36,81
9,9,9,3,9,5,36,5,36,81,36,61
11,1,51,13,24,5,34,7,42,101,42,21
12,11,12,57,12,103,12,31,13,89,13,121
12,31,12,57,12,103,13,89,12,11,13,121
12,57,12,103,12,31,12,11,13,89,13,121
12,103,12,57,12,31,12,11,13,89,13,121
13,89,13,121,47,9,1,73,47,37,37,119
13,121,13,89,47,9,1,73,47,37,21,61
15,3,6,23,6,97,6,41,6,75,6,81
16,1,32,31,49,49,41,51,6,7,6,67
17,31,55,27,26,81,18,97,19,163,18,163
18,97,21,111,39,61,18,163,21,61,17,31
18,163,21,61,21,111,47,37,18,97,29,510
19,163,55,27,17,31,29,510,27,37,27,53
21,61,47,37,21,111,18,163,39,61,18,97
21,111,21,61,39,61,18,97,18,163,47,37
22,33,48,201,5,119,47,157,1,73,48,309
23,5,25,25,25,27,23,9,44,7,50,21
23,9,23,5,25,25,44,7,25,27,50,21
24,5,11,1,51,13,34,7,42,101,42,69
25,25,44,7,25,27,23,5,9,3,9,9
25,27,44,7,25,25,9,3,9,9,9,5
26,81,17,31,26,163,55,27,18,97,39,49
26,163,39,35,39,49,26,81,42,49,39,61
27,37,27,53,19,163,31,55,55,27,17,31
27,53,27,37,19,163,31,55,55,27,17,31
29,510,18,163,19,163,47,157,17,31,18,97
31,55,27,37,27,53,40,143,19,163,40,109
32,3,6,71,6,65,6,25,6,59,6,37
32,31,6,67,6,7,6,99,6,13,6,19
34,7,42,101,34,39,34,13,36,61,24,5
34,13,34,39,36,61,36,5,36,81,42,101
34,39,34,13,36,61,36,5,36,81,42,101
35,1,48,141,8,41,8,31,8,1,4,19
36,5,36,61,36,81,34,13,34,39,9,9
36,29,36,55,42,49,36,101,42,21,42,3
36,55,36,101,36,29,42,69,42,49,42,21
36,61,36,5,36,81,34,13,34,39,9,9
36,81,36,5,36,61,34,13,34,39,9,9
36,101,36,55,42,69,36,29,42,21,42,49
37,119,37,183,47,9,13,89,13,121,12,31
37,183,37,119,51,13,11,1,24,5,42,21
39,35,42,49,26,163,39,49,42,3,42,21
39,49,39,61,39,35,26,163,42,3,18,97
39,61,21,111,18,97,39,49,21,61,18,163
40,109,40,143,48,113,48,439,48,309,5,119
40,143,40,109,48,113,48,439,5,119,48,309
41,51,6,23,6,7,16,1,32,31,6,67
42,3,42,21,42,49,39,35,36,29,39,49
42,21,42,3,42,49,51,13,11,1,36,101
42,49,36,29,42,3,39,35,42,21,36,55
42,69,42,101,34,13,34,39,34,7,36,101
42,101,34,7,34,39,34,13,36,61,36,81
44,7,25,25,25,27,9,3,9,9,9,5
47,9,13,121,13,89,21,61,47,37,21,111
47,37,21,61,18,163,21,111,1,73,47,9
47,157,5,119,47,37,1,73,29,510,18,163
48,113,48,439,48,309,40,109,48,201,40,143
48,141,35,1,4,19,4,13,8,41,8,31
48,201,48,309,48,113,48,439,22,33,5,119
48,309,48,439,48,113,48,201,40,109,40,143
48,439,48,113,48,309,40,109,48,201,40,143
49,49,32,3,16,1,8,69,8,31,8,1
50,7,50,21,25,27,9,5,9,3,23,5
50,21,50,7,25,27,9,5,9,3,25,25
51,13,11,1,24,5,34,7,42,101,42,21
55,27,17,31,19,163,26,81,18,97,27,37
