date,state_name,county_name,max_pollutant_AQI,max_AQI_pollutant,max_AQI_pollutant_concentration
2021-11-29,Alabama,Jefferson,40.0,pm10,43.156123419875655
2021-11-29,Arizona,Maricopa,64.0,pm25frm,18.22579071482383
2021-11-29,Arizona,Pima,42.0,no2,43.998786582240015
2021-11-29,Arkansas,Pulaski,,pm25nfrm,13.940042047827006
2021-11-29,California,Alameda,37.0,o3,0.0402341856210235
2021-11-29,California,Butte,500.0,pm25nfrm,631.5284906482675
2021-11-29,California,Contra Costa,42.0,o3,0.0451750806199143
2021-11-29,California,Fresno,168.0,pm25frm,88.9183149337084
2021-11-29,California,Humboldt,,so2,209.7951427352917
2021-11-29,California,Imperial,77.0,o3,0.062919990703722
2021-11-29,California,Los Angeles,155.0,pm25frm,62.53108901269316
2021-11-29,California,Marin,28.0,o3,0.0301404070820039
2021-11-29,California,Monterey,33.0,pm10,35.53551066276617
2021-11-29,California,Napa,31.0,o3,0.0343177850036499
2021-11-29,California,Orange,200.0,o3,0.1049852283369627
2021-11-29,California,Riverside,,no2,33.726265359794326
2021-11-29,California,Sacramento,,pm10,60.91692638187115
2021-11-29,California,San Bernardino,,no2,60.05739216463613
2021-11-29,California,San Diego,67.0,pm25frm,19.91263983760992
2021-11-29,California,San Francisco,31.0,o3,0.0329314110969696
2021-11-29,California,San Mateo,28.0,no2,29.9503061454438
2021-11-29,California,Santa Barbara,84.0,o3,0.0645163968890836
2021-11-29,California,Santa Clara,33.0,pm25frm,8.021029683381695
2021-11-29,California,Solano,40.0,o3,0.043365411334035
2021-11-29,California,Sonoma,24.0,o3,0.0262200550955495
2021-11-29,California,Stanislaus,243.0,pm25frm,192.84612724445185
2021-11-29,Colorado,Adams,,o3,0.1301472642464457
2021-11-29,Colorado,Denver,,so2,57.698131427999584
2021-11-29,Colorado,El Paso,48.0,co,4.166372713014722
2021-11-29,Colorado,Larimer,26.0,co,2.333300559929319
2021-11-29,Colorado,Weld,,o3,0.0689502993845801
2021-11-29,Connecticut,Hartford,,,
2021-11-29,Connecticut,Litchfield,500.0,o3,0.5811473964575599
2021-11-29,Connecticut,New Haven,159.0,pm25frm,70.13895872286419
2021-11-29,District Of Columbia,District of Columbia,40.0,pm25frm,9.675311847619945
2021-11-29,Florida,Broward,,,
2021-11-29,Florida,Duval,,so2,162929.4371298302
2021-11-29,Florida,Hillsborough,,o3,43.58691316792464
2021-11-29,Florida,Pinellas,,o3,108.44776577796652
2021-11-29,Georgia,DeKalb,,so2,331.42991187936104
2021-11-29,Georgia,Fulton,,,
2021-11-29,Hawaii,Honolulu,23.0,pm25frm,5.593726389268861
2021-11-29,Idaho,Ada,7.0,o3,0.0079174663224894
2021-11-29,Illinois,Cook,19.0,no2,19.506696575672663
2021-11-29,Indiana,Marion,,pm25frm,22.53083633924984
2021-11-29,Indiana,Vanderburgh,65.0,pm25frm,18.8489185634632
2021-11-29,Iowa,Scott,500.0,o3,0.345754681553242
2021-11-29,Kentucky,Edmonson,3.0,co,0.3164943184224362
2021-11-29,Kentucky,Jefferson,,so2,11.93426550466262
2021-11-29,Louisiana,East Baton Rouge,52.0,pm10,57.12363081512743
2021-11-29,Maine,Cumberland,1.0,co,0.1290673826974235
2021-11-29,Maine,Hancock,,o3,0.0130465011790688
2021-11-29,Maryland,Baltimore,19.0,o3,0.0207846163703419
2021-11-29,Massachusetts,Suffolk,190.0,o3,0.1005902180014456
2021-11-29,Massachusetts,Worcester,,so2,1.3684171206216649
2021-11-29,Michigan,Kent,,o3,0.0316087603477953
2021-11-29,Michigan,Wayne,,o3,4.973563989070337
2021-11-29,Minnesota,Dakota,82.0,co,7.602592409280224
2021-11-29,Minnesota,Hennepin,,,
2021-11-29,Missouri,St. Louis City,77.0,pm25frm,24.742752168301266
2021-11-29,Nebraska,Douglas,40.0,so2,27.704368921241127
2021-11-29,Nevada,Clark,,no2,49.39485745795051
2021-11-29,Nevada,Washoe,140.0,pm10,232.59916620411605
2021-11-29,New Jersey,Camden,37.0,o3,0.0398465693538194
2021-11-29,New Jersey,Essex,31.0,o3,0.0343428446882911
2021-11-29,New Jersey,Union,44.0,pm25frm,10.516668753935434
2021-11-29,New Mexico,Bernalillo,192.0,o3,0.1024105339772033
2021-11-29,New York,Bronx,36.0,pm25nfrm,8.605584618899606
2021-11-29,New York,Erie,154.0,pm25nfrm,61.78947318037116
2021-11-29,New York,Monroe,,,
2021-11-29,New York,New York,42.0,pm25nfrm,10.0664838328384
2021-11-29,New York,Queens,33.0,pm25nfrm,7.985170946485248
2021-11-29,New York,Steuben,500.0,o3,0.6497785493780028
2021-11-29,North Carolina,Mecklenburg,,so2,0.9821556572289794
2021-11-29,North Carolina,Wake,7.0,co,0.6197634162100494
